,profile,gender,favorites,link,birth_year
88,KomanoOhta,Male,"['14719', '5081', '9756', '2001', '1', '3002', '30', '9253', '227', '239']",https://myanimelist.net/profile/KomanoOhta,1999
89,Zomino,Male,"['16894', '3297', '263', '16918', '9253']",https://myanimelist.net/profile/Zomino,1996
90,EHeroReview,Male,[],https://myanimelist.net/profile/EHeroReview,1993
91,isumi-chan,Female,"['6702', '9756', '849', '6547', '21']",https://myanimelist.net/profile/isumi-chan,2001
92,Battousai_027,Male,"['45', '21', '9969', '10030', '1735']",https://myanimelist.net/profile/Battousai_027,1990
93,Waldy565,Male,"['2605', '16498', '1372', '1']",https://myanimelist.net/profile/Waldy565,1996
94,chinodesuuu,Non-Binary,"['37991', '5680', '31988', '27989']",https://myanimelist.net/profile/chinodesuuu,2000
95,HeavenBlade,Male,"['14813', '35247', '5114', '32281', '5680', '27989', '15051', '33352', '32', '9253']",https://myanimelist.net/profile/HeavenBlade,1994
96,CurseDestiny,Male,"['4565', '120', '934', '5081', '18119', '31637']",https://myanimelist.net/profile/CurseDestiny,1976
97,ShuuTsukTrash,Male,[],https://myanimelist.net/profile/ShuuTsukTrash,1999
98,Hejin,Male,"['31933', '20057', '11061', '27947', '95', '2001', '5507', '9253', '18679']",https://myanimelist.net/profile/Hejin,1991
99,godofmankind,Male,"['7785', '43', '31758', '32', '437', '199', '9253', '227', '2904', '1535']",https://myanimelist.net/profile/godofmankind,2000
100,Shinonono_Houki,Male,"['22199', '33489', '14741', '6547', '17549', '19221', '21085', '1470', '967', '6171']",https://myanimelist.net/profile/Shinonono_Houki,1987
101,FrostyHippo,Male,"['5114', '9253', '627', '23755']",https://myanimelist.net/profile/FrostyHippo,1998
102,Plucky-San,Male,"['66', '14741', '8129', '696', '1887', '5680', '6574', '488', '10495']",https://myanimelist.net/profile/Plucky-San,1987
103,Ollleksa,Male,"['2001', '22297', '31043', '5680', '13601', '1210', '1', '467']",https://myanimelist.net/profile/Ollleksa,1993
104,scottpilgrim10,Male,"['9253', '4181', '35180', '28851', '37510', '32979', '31988', '572', '121', '19']",https://myanimelist.net/profile/scottpilgrim10,1996
105,ComradeKane,Male,"['813', '5680', '2966']",https://myanimelist.net/profile/ComradeKane,1998
106,dragonwarrior123,Female,"['8769', '5680', '10110', '16498', '20']",https://myanimelist.net/profile/dragonwarrior123,1995
107,Zogger568,Male,"['23289', '9617', '5680']",https://myanimelist.net/profile/Zogger568,1995
108,gummyghost,Female,"['4087', '9756', '457', '20583']",https://myanimelist.net/profile/gummyghost,2000
109,shleepers,Female,[],https://myanimelist.net/profile/shleepers,1996
110,Theonewhorules,Female,"['30', '28851', '11061', '5081', '9989', '6746', '27989', '9253']",https://myanimelist.net/profile/Theonewhorules,2003
111,Itadakiimasu,Female,"['263', '11061', '1698', '37430', '5114']",https://myanimelist.net/profile/Itadakiimasu,1991
112,Xavveina,Male,"['6512', '10790', '11499', '4224', '1195', '3467', '38000']",https://myanimelist.net/profile/Xavveina,1993
113,Katie-Everly,Female,"['2251', '199', '19815']",https://myanimelist.net/profile/Katie-Everly,1999
114,SimplyCosmo,Male,"['21', '32281', '13759', '23273', '28851', '9253', '12531', '4224', '6045', '5114']",https://myanimelist.net/profile/SimplyCosmo,1997
115,SoraKiryu,Female,"['5680', '9756', '1887', '3588', '2923']",https://myanimelist.net/profile/SoraKiryu,1996
116,bearvarine,Male,"['9919', '8769', '387', '9289', '31043']",https://myanimelist.net/profile/bearvarine,1979
117,jaedencex,Non-Binary,"['7791', '232', '27989', '11061', '440', '23623', '2001', '205', '30', '9926']",https://myanimelist.net/profile/jaedencex,2001
118,XoXoXoXoXo,Male,"['17895', '11887', '9253', '7791', '7674']",https://myanimelist.net/profile/XoXoXoXoXo,1996
119,ratchet573,Male,"['400', '801', '9253', '22297', '567']",https://myanimelist.net/profile/ratchet573,1994
120,icurry,Female,"['5680', '1482', '31240', '9379', '28701', '10087', '14833', '5081', '23283']",https://myanimelist.net/profile/icurry,2001
121,guitarreaper254,Male,[],https://myanimelist.net/profile/guitarreaper254,1992
122,Kirbypower521,Male,"['5680', '14719', '30831', '33206', '30307', '8675', '21273']",https://myanimelist.net/profile/Kirbypower521,1998
123,wonderlander_7,Female,"['3470', '853', '1887', '2167', '5680', '1604', '12291', '19815']",https://myanimelist.net/profile/wonderlander_7,1996
124,instagramposter,Female,[],https://myanimelist.net/profile/instagramposter,1993
125,Guru93,Male,"['2167', '8536', '5680', '9756', '15583', '11757']",https://myanimelist.net/profile/Guru93,1993
126,Animeluverz125,Female,"['20583', '6702', '5680', '6045', '74']",https://myanimelist.net/profile/Animeluverz125,1998
127,NotRealLife,Male,"['232', '3297', '1462', '7791']",https://myanimelist.net/profile/NotRealLife,1992
128,Very6oodDays,Male,"['2026', '849', '6547', '355', '5680']",https://myanimelist.net/profile/Very6oodDays,1994
129,CthuluChan,Female,"['10793', '5680', '8074', '30']",https://myanimelist.net/profile/CthuluChan,1997
130,AyanAbdullah,Male,"['2904', '30', '820', '37991']",https://myanimelist.net/profile/AyanAbdullah,2004
131,XxTracerxXX,Male,"['3927', '2167', '10793', '2001']",https://myanimelist.net/profile/XxTracerxXX,1996
132,kitten320,Female,"['1571', '4725', '5682', '14397', '98', '1818', '245', '7724', '5114', '121']",https://myanimelist.net/profile/kitten320,1990
133,NiceKyubey,Male,"['4181', '9756', '4177', '28171']",https://myanimelist.net/profile/NiceKyubey,2001
134,RKO48,Male,"['38084', '39940']",https://myanimelist.net/profile/RKO48,1980
135,AgueroKun10,Male,"['16', '240', '2034', '3358', '1530']",https://myanimelist.net/profile/AgueroKun10,1990
136,NepetaLeijon,Female,['5680'],https://myanimelist.net/profile/NepetaLeijon,1997
137,Xybirk,Male,"['9756', '440', '22297', '1575', '5680']",https://myanimelist.net/profile/Xybirk,1994
138,sleepwalker,Non-Binary,"['14741', '9989', '23283', '30831', '31964', '10495', '30276', '227', '28497', '28621']",https://myanimelist.net/profile/sleepwalker,1997
139,SolitudeFreak24,Male,['245'],https://myanimelist.net/profile/SolitudeFreak24,1994
140,Fear_the_Reefer,Male,"['121', '4224', '721', '849', '1', '9756', '2966', '33', '934', '239']",https://myanimelist.net/profile/Fear_the_Reefer,1986
141,Ansaga2,Male,"['3958', '1889', '934', '4181', '5680']",https://myanimelist.net/profile/Ansaga2,1990
142,korison,Male,[],https://myanimelist.net/profile/korison,1997
143,lakshika,Female,"['1735', '1535', '5114', '7724', '20']",https://myanimelist.net/profile/lakshika,1990
144,Omnime,Male,"['3229', '2167', '5680', '7791']",https://myanimelist.net/profile/Omnime,1992
145,AbsarNaeem,Male,"['23755', '23289', '22319', '17074', '5081']",https://myanimelist.net/profile/AbsarNaeem,1995
146,Azunyan55,Female,"['9989', '7791', '4181', '12189', '11285']",https://myanimelist.net/profile/Azunyan55,1992
147,metempsykhosis,Female,"['400', '6', '552', '4898']",https://myanimelist.net/profile/metempsykhosis,1989
148,Kinshred,Male,"['30831', '25835', '9253']",https://myanimelist.net/profile/Kinshred,1993
149,Shura-shurato,Male,"['2229', '967', '392', '1254', '1016']",https://myanimelist.net/profile/Shura-shurato,1986
150,Mystina,Female,"['9107', '14093', '8438', '527', '5680']",https://myanimelist.net/profile/Mystina,1999
151,JustaMAL,Male,"['1', '934', '5680', '1852', '4224', '10495', '1535', '32262']",https://myanimelist.net/profile/JustaMAL,1995
152,RuntimeBR,Male,"['35180', '31646', '5680', '7791', '33489', '18679', '34599']",https://myanimelist.net/profile/RuntimeBR,2001
153,Hepta,Male,[],https://myanimelist.net/profile/Hepta,1930
154,ABPAEAE,Male,"['35838', '5680', '33352', '36884', '1852', '35839', '33489', '14131', '10165', '34798']",https://myanimelist.net/profile/ABPAEAE,2001
155,Lordcrab86,Male,"['1250', '114', '80', '21', '31933', '22135', '2251']",https://myanimelist.net/profile/Lordcrab86,1990
156,Rusafa,Female,"['18153', '20583', '22319', '1535', '16498']",https://myanimelist.net/profile/Rusafa,1997
157,Mangaluvr,Female,"['1698', '5114', '10379', '1033', '6594']",https://myanimelist.net/profile/Mangaluvr,1996
158,Mokoniki,Female,"['3588', '4181', '1889', '7645', '9989']",https://myanimelist.net/profile/Mokoniki,1995
159,Duckielover151,Female,"['1575', '3972', '2596', '31798', '30503', '5525', '3420', '3588', '853', '552']",https://myanimelist.net/profile/Duckielover151,1996
160,Theusnew,Male,"['232', '249', '1575', '5114', '6811', '1735', '2034', '30', '2904', '199']",https://myanimelist.net/profile/Theusnew,1991
161,ryshin,Male,"['4181', '5941', '3297', '1735']",https://myanimelist.net/profile/ryshin,1995
162,_Rose,Female,"['24765', '9756']",https://myanimelist.net/profile/_Rose,2003
163,Reidoraned,Male,"['552', '523', '10917', '4063', '5277']",https://myanimelist.net/profile/Reidoraned,1995
164,XxCyberPunKyxX,Male,[],https://myanimelist.net/profile/XxCyberPunKyxX,1988
165,Napoleon1,Male,"['153', '552', '1575', '237', '249', '957', '164', '431', '513', '199']",https://myanimelist.net/profile/Napoleon1,1994
166,Digoligo,Male,"['6594', '37991', '2001', '523']",https://myanimelist.net/profile/Digoligo,1994
167,TinyTinaTales,Female,"['30230', '23273', '38145', '11061', '22043', '36456']",https://myanimelist.net/profile/TinyTinaTales,1997
168,SlaceTheDark,Male,"['356', '5081', '22535', '21', '15335', '10721', '4224', '23311', '27989', '32979']",https://myanimelist.net/profile/SlaceTheDark,1996
169,amanakeet,Male,"['5300', '26055', '38145', '457', '245', '30015', '523', '36649', '11843', '790']",https://myanimelist.net/profile/amanakeet,2000
170,Jalinne,Male,['19815'],https://myanimelist.net/profile/Jalinne,2001
171,Grizzziff,Male,"['30831', '10396', '15809', '28851', '37497', '37450', '11111', '1', '16742', '30276']",https://myanimelist.net/profile/Grizzziff,1987
172,Dukino,Male,"['4181', '6', '26055', '38408', '9253', '2001', '6336', '4224', '33352', '35790']",https://myanimelist.net/profile/Dukino,1997
173,needlexd,Male,"['22319', '37430', '35790', '38145', '35507', '9253', '30484', '22535', '31646', '37450']",https://myanimelist.net/profile/needlexd,2001
174,ShySorcerer,Male,"['4181', '5081', '14813', '22789', '32093']",https://myanimelist.net/profile/ShySorcerer,1994
175,Kenel,Male,"['235', '23273', '19', '1575', '339', '32935']",https://myanimelist.net/profile/Kenel,1999
176,PunkHazard98,Male,"['5081', '2904', '22319', '31043', '11111', '14813', '21', '1735', '20583', '9253']",https://myanimelist.net/profile/PunkHazard98,1998
177,God_Yamcha_234,Male,"['19', '202', '18229', '2246', '4898', '934', '24415', '32867', '9989', '918']",https://myanimelist.net/profile/God_Yamcha_234,2003
178,13lueH0ur,Male,[],https://myanimelist.net/profile/13lueH0ur,1994
179,SeekingWaylander,Male,"['223', '21', '269', '20', '45', '541', '540', '1146', '539']",https://myanimelist.net/profile/SeekingWaylander,1990
180,simon999,Male,"['2001', '5114', '11061', '1', '31859']",https://myanimelist.net/profile/simon999,1992
181,MichaelaBaron,Female,"['11061', '22789', '9989', '31240', '5941', '24833', '16918', '5682', '11843', '20785']",https://myanimelist.net/profile/MichaelaBaron,1996
182,sodomized,Male,"['145', '486', '6594', '387', '801', '885', '7785', '949', '437', '30']",https://myanimelist.net/profile/sodomized,1996
183,Albelio,Male,"['2167', '2904', '44', '2001', '934']",https://myanimelist.net/profile/Albelio,1992
184,HowToWatchAnime,Female,"['849', '30', '1', '121', '165']",https://myanimelist.net/profile/HowToWatchAnime,2008
185,theragingautist,Male,"['32', '7791', '31933', '9756', '18679', '31174', '1', '31240', '17074', '10278']",https://myanimelist.net/profile/theragingautist,1998
186,Timz0r,Male,"['5680', '226', '22535', '37141', '16732', '33731', '30831', '1852', '1210', '9253']",https://myanimelist.net/profile/Timz0r,1988
187,bastian,Male,"['20', '1735']",https://myanimelist.net/profile/bastian,1992
188,edwardyyu9f,Male,"['4181', '71', '6201', '147', '4224']",https://myanimelist.net/profile/edwardyyu9f,1992
189,Lycan,Non-Binary,"['1', '820', '387', '31933', '28851', '467', '323', '30', '1210', '2001']",https://myanimelist.net/profile/Lycan,1991
190,sterl1,Male,"['34403', '19', '5114', '26', '7785', '437', '440', '13125', '2001', '1088']",https://myanimelist.net/profile/sterl1,1997
191,MilkyFluids,Male,"['28223', '37510', '23847', '1689', '9253', '4181', '38000', '38524']",https://myanimelist.net/profile/MilkyFluids,1999
192,Kyonale,Non-Binary,"['37450', '849']",https://myanimelist.net/profile/Kyonale,1989
193,01Sharjeel,Male,"['790', '26', '3783', '11741', '23273', '6114', '2001', '19', '30654', '2904']",https://myanimelist.net/profile/01Sharjeel,1998
194,captjoe213,Male,"['158', '6164', '23273', '16742', '4181']",https://myanimelist.net/profile/captjoe213,1979
195,GuanYu_7,Male,"['30', '1429', '885', '10165', '17074', '26', '339', '31933', '164', '486', '1', '2001', '416', '13125', '22789', '387', '16201', '512', '21557', '31646']",https://myanimelist.net/profile/GuanYu_7,1996
196,esaoud,Male,"['28171', '11061', '30276', '19815']",https://myanimelist.net/profile/esaoud,1994
197,nozoparfait,Female,[],https://myanimelist.net/profile/nozoparfait,2001
198,Maurits,Male,"['13601', '45', '44', '25013', '6702']",https://myanimelist.net/profile/Maurits,1998
199,tobioiisms,Male,"['31478', '20583']",https://myanimelist.net/profile/tobioiisms,1998
200,ReaperSenseii,Male,"['30296', '1735', '11771', '6045', '24439', '11061', '5114', '22297', '31964', '5081']",https://myanimelist.net/profile/ReaperSenseii,1999
201,meganechann,Non-Binary,"['37396', '20583', '36653', '36704', '31580', '31478', '31798', '31043']",https://myanimelist.net/profile/meganechann,2002
202,_bin,Male,[],https://myanimelist.net/profile/_bin,2000
203,Hydra_no_Mago,Non-Binary,"['6746', '4081', '5081', '32867', '16498', '2246', '33255', '34537']",https://myanimelist.net/profile/Hydra_no_Mago,1999
204,JabbaWabba,Male,"['5114', '4181', '9989', '9253', '4224', '16498', '16']",https://myanimelist.net/profile/JabbaWabba,1997
205,baconrollz,Female,"['5356', '14813', '457', '10721', '16498']",https://myanimelist.net/profile/baconrollz,1995
206,AttackOnWaifu,Female,"['12355', '9253', '164']",https://myanimelist.net/profile/AttackOnWaifu,1988
207,PoeticJustice,Male,"['33', '1488', '85', '457', '1089', '26', '44']",https://myanimelist.net/profile/PoeticJustice,2016
208,vasili101,Male,"['30', '9756', '7785', '440', '32', '9260', '22135', '6594', '25835', '3785']",https://myanimelist.net/profile/vasili101,1994
209,Faust721,Male,"['37521', '39940', '38659', '37379', '40004', '38328']",https://myanimelist.net/profile/Faust721,1988
210,Dc4Vp,Male,"['1210', '5781', '164', '2001', '226']",https://myanimelist.net/profile/Dc4Vp,1991
211,jonathanlane,Male,"['578', '1', '199', '160']",https://myanimelist.net/profile/jonathanlane,1989
212,yanmzry,Male,"['11843', '2605', '6547', '918', '28025', '17074', '32937', '28977']",https://myanimelist.net/profile/yanmzry,1988
213,StephenPatamon,Male,"['11061', '9253', '1535', '8426', '1']",https://myanimelist.net/profile/StephenPatamon,1996
214,TheBrainintheJar,Male,"['874', '1138', '18679', '1', '3701']",https://myanimelist.net/profile/TheBrainintheJar,1994
215,emberreviews,Male,"['23273', '5114', '11061', '2251', '918', '30', '4181', '10087', '34034', '9756']",https://myanimelist.net/profile/emberreviews,1993
216,Digiomegamon,Male,"['23755', '6547', '2904', '853', '552']",https://myanimelist.net/profile/Digiomegamon,1989
217,dragone66330,Male,"['8861', '2904', '93', '4181', '29095']",https://myanimelist.net/profile/dragone66330,1994
218,Nerdo,Male,"['57', '877', '6746', '322', '552']",https://myanimelist.net/profile/Nerdo,1995
219,Aburaishi,Male,"['1535', '552', '4654', '2025']",https://myanimelist.net/profile/Aburaishi,1993
220,Lil-Bird,Female,"['4181', '18679', '934', '6', '2001', '21', '323', '121', '30', '182']",https://myanimelist.net/profile/Lil-Bird,1992
221,Maneki-Mew,Female,"['249', '4081', '34599', '9756', '13125', '164', '35062', '16498', '202', '37208', '30', '2966', '37520', '34712', '31646', '37786', '32949', '322', '877', '145']",https://myanimelist.net/profile/Maneki-Mew,1992
222,VegaMaruko,Male,"['34134', '35839']",https://myanimelist.net/profile/VegaMaruko,1985
223,HaXXspetten,Male,"['9756', '9253', '1575', '33674', '1889', '10271', '14397', '1535', '18617', '4181', '33049', '13663', '31240', '32281', '37779', '16067', '12029', '31043', '239', '12477']",https://myanimelist.net/profile/HaXXspetten,1994
224,Demaou,Male,"['1535', '2904', '4181', '9253', '12477', '1210', '4224']",https://myanimelist.net/profile/Demaou,1995
225,KANLen09,Male,"['34798', '35839', '27775', '38691', '38000', '35503', '38062', '37171', '9989']",https://myanimelist.net/profile/KANLen09,1994
